fund_name,scheme_name,category,rating,aum,expense_ratio,inception_date,Benchmark Index,nav,high_52_week,low_52_week,return_1_month,Return (%)3 mo,Return (%)6 mo,return_1_year,Return (%)2 yrs,return_3_year,return_5_year,Return (%)10 yrs,Turnover Ratio (%),number_of_stocks,average_market_cap,large_cap,mid_cap,small_cap,Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,standard_deviation,classification,category_average_return,category_average_return_3years,exit_load_remarks
Bank of India Mutual Fund,Bank of India Large & Mid Cap Equity Fund-Reg(G),EQ-L&M,3.0,206.6,2.6,21-Oct-08,S&P BSE 250 LargeMidCap Index - TRI,55.41,58.5,46.82,-2.14,8.14,3.03,-5.39,24.46,17.12,8.84,11.93,61,43.0,94043.0,54.37,32.07,9.01,Financials,-,-,-,-1.16,-0.34,-0.51,0.9,18.11,Equity : Large & Mid Cap,-1.58,18.24,NIL upto 10% of units and 1% for in execss of above Limit on or before 1Y NIL after 1Y
Bank of India Mutual Fund,Bank of India Mid & Small Cap Equity & Debt Fund-Reg(G),HY-EQ,5.0,382.0,2.6,20-Jul-16,Nifty MidSmallcap 400 - TRI,22.61,25.08,19.61,-1.44,8.08,-3.58,-6.03,28,24.4,10.95,-,108,46.0,18211.0,3.83,46.75,29.15,Financials,0.95,0.77,6.63,-6.73,-0.4,-0.61,0.38,17.18,Hybrid : Equity Oriented,1.35,8.53,NIL upto 10% of units and 1% for in execss of above Limit on or before 1Y NIL after 1Y
Bank of India Mutual Fund,Bank of India Tax Advantage Fund-Reg(G),EQ-ELSS,5.0,645.6,2.5,25-Feb-09,S&P BSE 500 - TRI,99.88,106.1,83.08,-0.87,10.77,3.19,-6.81,26.5,23.37,13.62,15.98,81,50.0,110411.0,59.89,30.92,9.26,Financials,-,-,-,-2.72,-0.42,-0.63,0.93,18.66,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Aggressive Hybrid Fund-Reg(G),HY-EQ,4.0,768.5,2.26,7-Apr-17,CRISIL Hybrid 35+65 - Aggressive Index,18.59,19.16,16.61,-0.6,6.1,1.66,-3.32,19,13.76,11.66,-,119,39.0,225546.0,61.51,6.4,4.29,Financials,2.56,1.53,7.57,-4.18,-0.34,-0.52,0.85,13.76,Hybrid : Equity Oriented,1.35,8.53,Nil upto 10% of units and 1 % for in excess of limits on or before 12M Nil after 12M
Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Arbitrage Fund-Reg(G),HY-ARB,4.0,494.5,1.1,28-Dec-16,Nifty 50 Arbitrage,13.37,13.37,12.93,0.38,1.03,1.64,3.3,3.6,3.93,4.87,-,2108,72.0,52352.0,29.08,20.77,17.84,Financials,0.52,0.48,6.5,0.53,0.6,1.19,-0.01,0.91,Hybrid : Arbitrage,3.56,3.65,0.25% on or before 1M Nil after 1M
Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Conservative Hybrid Fund-Reg(G),HY-DT(CO),2.0,510.8,2.42,23-Sep-04,CRISIL Hybrid 85+15 - Conservative Index,35.25,35.56,33.54,-0.03,2.51,1.62,0.15,6.19,6.05,5.67,7.79,0,42.0,227678.0,18.53,2.43,1.52,Financials,3.78,1.85,7.58,-2.14,-0.54,-0.83,0.56,4.4,Hybrid : Debt Oriented (Conservative),0.59,9.76,1% on or before 6M Nil after 6M
Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas ELSS Fund-Reg(G),EQ-ELSS,2.0,676.6,2.33,5-Jan-06,NIFTY 500 - TRI,57.78,63.04,50.5,-0.25,6.5,0.27,-8.63,17.62,13.05,8.97,13.94,59,55.0,170345.0,70.91,16.98,9.23,Financials,-,-,-,-4.91,-0.57,-0.87,0.92,17.43,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Focused Fund-Reg(G),EQ-FLEX,2.0,270.3,2.43,6-Oct-17,NIFTY 500 - TRI,14.83,15.32,12.88,-1.91,6.8,1.41,-4.59,21.79,14.42,8.04,-,97,22.0,208886.0,75.55,16.82,1.15,Financials,-,-,-,-0.1,-0.29,-0.44,0.93,18.12,Equity : Flexi Cap,-2.7,16.46,Nil upto 10% of units within 12M In excess of limit - 1% on or before 12M and Nil after 12M
Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Large Cap Fund-Reg(G),EQ-LC,2.0,1326.8,2.14,23-Sep-04,NIFTY 100 - TRI,141.12,146.62,123.24,-0.11,7.07,3.04,-4.31,20.49,13.83,11.37,14.37,42,47.0,288117.0,85.61,4.79,0.85,Financials,-,-,-,-0.18,-0.31,-0.49,0.93,17.16,Equity : Large Cap,-3.51,14.3,Nil upto 10% of Units within 12M 1% exceding 10% of Units within 12M Nil after 12M
Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Mid Cap Fund-Reg(G),EQ-MID,4.0,1200.8,2.19,2-May-06,Nifty Midcap 150 - TRI,59.87,61.7,50.35,-0.66,8.68,2.01,-3.6,32.95,24.12,11.04,18.04,62,52.0,36417.0,14.53,69.97,9.23,Financials,-,-,-,0.93,-0.21,-0.31,0.86,18.47,Equity : Mid Cap,0.53,23.53,Nil upto 10% of Units within 12M 1% exceding 10% of Units within 12M Nil after 12M
Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Multi Cap Fund-Reg(G),EQ-MLC,4.0,1655.8,2.27,12-Sep-03,Nifty500 Multicap 50:25:25 - TRI,169.66,183.69,144.91,-0.35,8.33,-0.41,-8.43,29.73,20.28,11.16,13.42,61,60.0,65462.0,41.64,27.36,25.42,Financials,-,-,-,-3.18,-0.45,-0.68,0.94,18.55,Equity : Multi Cap,0.07,20.3,1% on or before 365D Nil after 365D
Canara Robeco,Canara Rob Conservative Hybrid Fund-Reg(G),HY-DT(CO),4.0,1138.5,1.8,31-Mar-96,CRISIL Hybrid 85+15 - Conservative Index,76.27,77.13,72.87,-0.34,2.52,1.58,0.7,8.06,8.87,7.64,8.6,244,38.0,166891.0,16.32,2.96,3.14,Financials,3,2.42,7.16,-1.76,-0.45,-0.69,0.47,4.44,Hybrid : Debt Oriented (Conservative),0.59,9.76,Nil upto 10% of units on or before 1Y 1% for more than 10% of units on or before 1Y Nil after 1Y
