Fund House,Funds,Category,Rating,AUM(in Rs. cr),ExpenseRatio (%),inception_date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. of Stocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,category_average_return_1year,category_average_return_3years,Exit_load_Remarks
Invesco Mutual Fund,Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF-Reg(G),FOF-OVR,Unrated,86.6,0.4,21-Apr-22,Nasdaq-100 - TRI,8.72,10.1,8.25,-2.67,-5.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FoFs : Overseas,-21.18,4.44,Nil
Invesco Mutual Fund,Invesco India - Invesco Global Consumer Trends FoF-Reg(G),FOF-OVR,Unrated,386,1.52,24-Dec-20,MSCI World Consumer Discretionary Index - Net Dividend,5.94,10.73,5.69,-8.79,-8.61,-19.78,-44.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-58.56,-1.79,-2.99,1.24,32.8,FoFs : Overseas,-21.18,4.44,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India - Invesco Global Equity Income FoF-Reg(G),FOF-OVR,Unrated,9.8,1.38,5-May-14,MSCI World Index-Net Dividend,15.42,18.58,14.7,-3.03,-6.97,-10.3,-14.81,8.17,5.45,4.93,-,-,1,-,-,-,-,-,-,-,-,-16.3,-0.81,-1.28,0.1,20.13,FoFs : Overseas,-21.18,4.44,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India - Invesco Pan European Equity FoF-Reg(G),FOF-OVR,Unrated,51.4,1.09,31-Jan-14,MSCI Europe Index (Total Return Net),11.49,14.05,10.56,-0.29,-0.5,-10.33,-14.58,8.19,2.46,1.1,-,-,1,-,-,-,-,-,-,-,-,-16.3,-0.69,-1.04,0.25,23.73,FoFs : Overseas,-21.18,4.44,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Arbitrage Fund(G),HY-ARB,3,1662.4,1.05,30-Apr-07,Nifty 50 Arbitrage,26.38,26.38,25.2,0.46,1.33,2.35,4.54,3.99,4.1,4.91,6.05,2127,135,44023,28.85,21.57,14.33,Financials,-,-,-,1.71,1.86,3.86,-0.02,0.92,Hybrid : Arbitrage,3.56,3.65,0.50% on or before 15D Nil after 15D
Invesco Mutual Fund,Invesco India Banking & PSU Debt Fund(G),DT-B&PSU,3,175.5,0.7,29-Dec-12,NIFTY Banking and PSU Debt Index,1855.7,1876.52,1819.29,-0.01,0.91,0.5,0.29,1.94,4.46,5.83,-,0,-,-,-,-,-,-,2.6,2.04,7.2,-2.37,-0.98,-1.16,0.46,2.63,Debt : Banking & PSU,2.42,5.6,NIL
Invesco Mutual Fund,Invesco India Contra Fund(G),EQ-VAL,3,9259.1,1.75,11-Apr-07,S&P BSE 500 - TRI,78.86,81.2,66.56,-0.37,8.89,4.69,-2.59,25.27,18.61,12.81,16.81,59,62,119184,69.94,16.16,9.07,Financials,-,-,-,2.12,-0.17,-0.26,0.91,17.36,Equity : Value / Contra,3.04,21.88,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Corporate Bond Fund(G),DT-CORP,3,2140.8,0.66,2-Aug-07,NIFTY Corporate Bond Index,2595.48,2599.36,2545.76,0.06,0.82,0.94,1.93,2.97,5.39,5.49,6.74,0,-,-,-,-,-,-,1.8,1.57,7.28,-0.68,-0.67,-0.86,0.27,1.19,Debt : Corporate Bond,2.2,5.79,Nil
Invesco Mutual Fund,Invesco India Credit Risk Fund(G),DT-CR,3,129.3,1.5,4-Sep-14,NIFTY Credit Risk Bond Index,1497.05,1499.92,1474.19,0.13,0.79,0.88,1.48,2.27,4.22,2.27,-,0,-,-,-,-,-,-,2.1,1.7,6.91,-1.13,-1.12,-1.55,0.26,1.13,Debt : Credit Risk,3.6,5.53,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Dynamic Equity Fund(G),HY-DYN,2,647.8,2.3,4-Oct-07,NIFTY 50 Hybrid Composite Debt 50:50 Index,37.45,38.08,33.61,-0.24,6.94,3.08,-0.72,11.34,8.09,5.39,10.82,199,32,178761,57.71,4.31,2.87,Financials,-,-,-,-2.77,-0.28,-0.44,0.7,11.29,Hybrid : Dynamic Asset Allocation,1.18,10.47,Nil upto 10% of units and 0.25% for above the limits on or before 3M Nil after 3M
Invesco Mutual Fund,Invesco India Equity & Bond Fund-Reg(G),HY-EQ,3,391.1,2.4,30-Jun-18,CRISIL Hybrid 35+65 - Aggressive Index,14.38,15.1,12.74,-0.45,6.11,1.95,-4.45,14.31,9.86,-,-,148,54,95897,45.71,27.01,0.74,Financials,2.88,2.4,7.18,-5.57,-0.47,-0.73,0.82,12.9,Hybrid : Equity Oriented,1.35,8.53,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Equity Savings Fund-Reg(G),HY-EQ,1,153,2.33,7-Mar-19,NIFTY 50 Equity Savings Index,12.35,12.86,11.75,-1.05,2.08,-0.69,-3.94,6.11,5.85,-,-,431,50,138153,54.82,8.91,4.82,Financials,0.4,0.37,6.45,-6.07,-0.93,-1.44,0.37,6.73,Hybrid : Equity Oriented,1.35,8.53,0.25% on or before 1M Nil after 1M
Invesco Mutual Fund,Invesco India ESG Equity Fund-Reg(G),EQ-THEM,Unrated,702.7,2.31,20-Mar-21,NIFTY100 ESG - TRI,11.98,13.75,10.53,-0.5,5.09,-3.55,-13.01,-,-,-,-,42,40,114825,61.24,19.54,16.95,Financials,-,-,-,-9.98,-0.86,-1.3,0.88,17.34,Equity : Thematic,7.27,15.07,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Financial Services Fund(G),EQ-FIN,2,450.5,2.52,14-Jul-08,Nifty Financial Services - TRI,79.11,84.77,64.51,-1.71,11.89,4.23,-5.83,22.08,10.56,8.89,13.7,23,26,172407,77.99,5.58,13.74,Financials,-,-,-,-0.5,-0.3,-0.47,1.03,20.6,Equity : Sectoral - Financial Services,-1.79,11.01,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Flexi Cap Fund-Reg(G),EQ-FLEX,Unrated,906.9,2.36,14-Feb-22,S&P BSE 500 - TRI,10.39,10.65,8.84,0.29,8.34,1.96,-,-,-,-,-,-,61,145041,70.34,18.73,7.15,Financials,-,-,-,-,-,-,-,-,Equity : Flexi Cap,-2.7,16.46,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Focused 20 Equity Fund-Reg(G),EQ-FLEX,Unrated,1697.1,2.06,29-Sep-20,S&P BSE 500 - TRI,14.96,16.93,13.11,0.07,6.77,0.2,-8.6,21.64,-,-,-,79,20,195377,82.37,8.13,7.11,Financials,-,-,-,-5.39,-0.6,-0.92,0.9,17.47,Equity : Flexi Cap,-2.7,16.46,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Gilt Fund(G),DT-GILT,Unrated,21.5,1.25,9-Feb-08,Nifty All Duration G-Sec Index,2300.82,2311.69,2247.83,-0.03,0.67,1.4,1.99,1.4,3.45,4.51,6.6,0,-,-,-,-,-,-,1.9,1.61,6.75,-0.73,-0.48,-0.79,0.4,1.87,Debt : Gilt,1.22,5.04,Nil
Invesco Mutual Fund,Invesco India Gold ETF,GOLD-ETF,Unrated,85.9,0.55,19-Mar-10,Gold-India,4475.05,4942.18,4271.76,1.78,-1.28,-6.46,5.33,-1.45,8.47,10.29,3.95,2,-,-,-,-,-,-,-,-,-,1.71,0.14,0.25,-0.37,13.4,Gold : ETFs,-3.32,12.35,Nil
Invesco Mutual Fund,Invesco India Gold Fund(G),GOLD-MF,Unrated,56.7,0.46,5-Dec-11,Gold-India,14.83,16.05,14.11,2.46,-0.62,-5.51,6.07,-1.83,7.57,8.78,3.46,-,-,-,-,-,-,-,-,-,-,2.85,0.19,0.35,-0.64,16.55,Gold : MFs,3.72,7.87,Nil
Invesco Mutual Fund,Invesco India Growth Opp Fund(G),EQ-L&M,2,3825.6,1.89,9-Aug-07,NIFTY LargeMidcap 250 - TRI,52.34,55.48,44.22,-0.3,8.55,3.05,-5.42,20.85,14.01,10.93,14.76,75,61,87014,54.82,38.59,2.69,Financials,-,-,-,-1.23,-0.36,-0.55,0.9,17.49,Equity : Large & Mid Cap,-1.58,18.24,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Infrastructure Fund(G),EQ-INFRA,4,430.1,2.51,24-Oct-07,S&P BSE India Infrastructure Index - TRI,31.99,33.72,27.06,-3.66,6.31,2.51,-1.46,38.99,23.41,13.21,15.57,48,39,36480,35.19,24.42,37.28,Capital Goods,-,-,-,3.75,-0.04,-0.07,0.82,18.37,Equity : Sectoral - Infrastructure,5.4,20.87,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Largecap Fund(G),EQ-LC,3,717.1,2.27,21-Aug-09,NIFTY 100 - TRI,43.46,47.36,37.78,-1.09,6.4,1.45,-7.02,20.46,14.86,10.62,13.14,32,44,228158,81.67,11,4.51,Financials,-,-,-,-2.52,-0.44,-0.68,0.95,17.82,Equity : Large Cap,-3.51,14.3,Nil 
